"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"1","NewYork","New York",8405837,8175133,"0.0282",3026,27012,"40.6643¡N 73.9385¡W",406643,-739385
"2","LosAngeles","California",3884307,3792621,"0.0242",4687,8092,"34.0194¡N 118.4108¡W",340194,-1184108
"3","Chicago","Illinois",2718782,2695598,"0.0086",2276,11842,"41.8376¡N 87.6818¡W",418376,-876818
"4","Houston","Texas",2195914,2100263,"0.0455",5996,3501,"29.7805¡N 95.3863¡W",297805,-953863
"5","Philadelphia","Pennsylvania",1553165,1526006,"0.0178",1341,11379,"40.0094¡N 75.1333¡W",400094,-751333
"6","Phoenix","Arizona",1513367,1445632,"0.0469",5167,2798,"33.5722¡N 112.0880¡W",335722,-1120880
"7","SanAntonio","Texas",1409019,1327407,"0.0615",4609,2880,"29.4724¡N 98.5251¡W",294724,-985251
"8","SanDiego","California",1355896,1307402,"0.0371",3252,4020,"32.8153¡N 117.1350¡W",328153,-1171350
"9","Dallas","Texas",1257676,1197816,"0.05",3405,3518,"32.7757¡N 96.7967¡W",327757,-967967
"10","SanJose","California",998537,945942,"0.0556",1765,5359,"37.2969¡N 121.8193¡W",372969,-1218193
"11","Austin","Texas",885400,790390,"0.1202",2979,2653,"30.3072¡N 97.7560¡W",303072,-977560
"12","Indianapolis","Indiana",843393,820445,"0.028",3614,2270,"39.7767¡N 86.1459¡W",397767,-861459
"13","Jacksonville","Florida",842583,821784,"0.0253",7470,1120,"30.3370¡N 81.6613¡W",303370,-816613
"14","SanFrancisco","California",837442,805235,"0.04",469,17179,"37.7751¡N 122.4193¡W",377751,-1224193
"15","Columbus","Ohio",822553,787033,"0.0451",2172,3624,"39.9848¡N 82.9850¡W",399848,-829850
"16","Charlotte","North Carolina",792862,731424,"0.084",2977,2457,"35.2087¡N 80.8307¡W",352087,-808307
"17","FortWorth","Texas",792727,741206,"0.0695",3398,2181,"32.7795¡N 97.3463¡W",327795,-973463
"18","Detroit","Michigan",688701,713777,"-0.0351",1388,5144,"42.3830¡N 83.1022¡W",423830,-831022
"19","ElPaso","Texas",674433,649121,"0.039",2552,2543,"31.8484¡N 106.4270¡W",318484,-1064270
"20","Memphis","Tennessee",653450,646889,"0.0101",3151,2053,"35.1035¡N 89.9785¡W",351035,-899785
"21","Seattle","Washington",652405,608660,"0.0719",839,7251,"47.6205¡N 122.3509¡W",476205,-1223509
"22","Denver","Colorado",649495,600158,"0.0822",1530,3923,"39.7618¡N 104.8806¡W",397618,-1048806
"23","Washington","District of Columbia",646449,601723,"0.0743",610,9856,"38.9041¡N 77.0171¡W",389041,-770171
"24","Boston","Massachusetts",645966,617594,"0.0459",483,12793,"42.3320¡N 71.0202¡W",423320,-710202
"25","Nashville","Tennessee",634464,601222,"0.0553",4751,1265,"36.1718¡N 86.7850¡W",361718,-867850
"26","Baltimore","Maryland",622104,620961,"0.0018",809,7672,"39.3002¡N 76.6105¡W",393002,-766105
"27","OklahomaCity","Oklahoma",610613,579999,"0.0528",6064,956,"35.4671¡N 97.5137¡W",354671,-975137
"28","Louisville","Kentucky",609893,597337,"0.021",3252,1837,"38.1781¡N 85.6667¡W",381781,-856667
"29","Portland","Oregon",609456,583776,"0.044",1334,4375,"45.5370¡N 122.6500¡W",455370,-1226500
"30","LasVegas","Nevada",603488,583756,"0.0338",1358,4298,"36.2277¡N 115.2640¡W",362277,-1152640
"31","Milwaukee","Wisconsin",599164,594833,"0.0073",961,6188,"43.0633¡N 87.9667¡W",430633,-879667
"32","Albuquerque","New Mexico",556495,545852,"0.0195",1877,2908,"35.1056¡N 106.6474¡W",351056,-1066474
"33","Tucson","Arizona",526116,520116,"0.0115",2267,2294,"32.1543¡N 110.8711¡W",321543,-1108711
"34","Fresno","California",509924,494665,"0.0308",1120,4418,"36.7827¡N 119.7945¡W",367827,-1197945
"35","Sacramento","California",479686,466488,"0.0283",979,4764,"38.5666¡N 121.4686¡W",385666,-1214686
"36","LongBeach","California",469428,462257,"0.0155",503,9191,"33.8091¡N 118.1553¡W",338091,-1181553
"37","KansasCity","Missouri",467007,459787,"0.0157",3150,1460,"39.1252¡N 94.5511¡W",391252,-945511
"38","Mesa","Arizona",457587,439041,"0.0422",1365,3218,"33.4019¡N 111.7174¡W",334019,-1117174
"39","VirginiaBeach","Virginia",448479,437994,"0.0239",2490,1759,"36.7793¡N 76.0240¡W",367793,-760240
"40","Atlanta","Georgia",447841,420003,"0.0663",1332,3154,"33.7629¡N 84.4227¡W",337629,-844227
"41","ColoradoSprings","Colorado",439886,416427,"0.0563",1945,2141,"38.8673¡N 104.7607¡W",388673,-1047607
"42","Omaha","Nebraska",434353,408958,"0.0621",1271,3218,"41.2647¡N 96.0419¡W",412647,-960419
"43","Raleigh","North Carolina",431746,403892,"0.069",1429,2826,"35.8302¡N 78.6414¡W",358302,-786414
"44","Miami","Florida",417650,399457,"0.0455",359,11539,"25.7752¡N 80.2086¡W",257752,-802086
"45","Oakland","California",406253,390724,"0.0397",558,7004,"37.7699¡N 122.2256¡W",377699,-1222256
"46","Minneapolis","Minnesota",400070,382578,"0.0457",540,7088,"44.9633¡N 93.2683¡W",449633,-932683
"47","Tulsa","Oklahoma",398121,391906,"0.0159",1968,1992,"36.1279¡N 95.9023¡W",361279,-959023
"48","Cleveland","Ohio",390113,396815,"-0.0169",777,5107,"41.4781¡N 81.6795¡W",414781,-816795
"49","Wichita","Kansas",386552,382368,"0.0109",1593,2400,"37.6907¡N 97.3427¡W",376907,-973427
"50","Arlington","Texas",379577,365438,"0.0387",959,3811,"32.7007¡N 97.1247¡W",327007,-971247
"51","NewOrleans","Louisiana",378715,343829,"0.1015",1694,2029,"30.0686¡N 89.9390¡W",300686,-899390
"52","Bakersfield","California",363630,347483,"0.0465",1422,2444,"35.3212¡N 119.0183¡W",353212,-1190183
"53","Tampa","Florida",352957,335709,"0.0514",1134,3077,"27.9701¡N 82.4797¡W",279701,-824797
"54","Honolulu","Hawai'i",347884,337256,"0.0315",605,5573,"21.3259¡N 157.8453¡W",213259,-1578453
"55","Aurora","Colorado",345803,325078,"0.0638",1541,2110,"39.7082¡N 104.8235¡W",397082,-1048235
"56","Anaheim","California",345012,336265,"0.026",498,6748,"33.8555¡N 117.7601¡W",338555,-1177601
"57","SantaAna","California",334227,324528,"0.0299",273,11901,"33.7365¡N 117.8826¡W",337365,-1178826
"58","StLouis","Missouri",318416,319294,"-0.0027",619,5157,"38.6357¡N 90.2446¡W",386357,-902446
"59","Riverside","California",316619,303871,"0.042",811,3745,"33.9381¡N 117.3932¡W",339381,-1173932
"60","CorpusChristi","Texas",316381,305215,"0.0366",1606,1900,"27.7543¡N 97.1734¡W",277543,-971734
"61","Lexington","Kentucky",308428,295803,"0.0427",2836,1043,"38.0402¡N 84.4584¡W",380402,-844584
"62","Pittsburgh","Pennsylvania",305841,305704,"0.0004",554,5521,"40.4398¡N 79.9766¡W",404398,-799766
"63","Anchorage","Alaska",300950,291826,"0.0313",17047,171,"61.2176¡N 149.8953¡W",612176,-1498953
"64","Stockton","California",298118,291707,"0.022",617,4730,"37.9763¡N 121.3133¡W",379763,-1213133
"65","Cincinnati","Ohio",297517,296943,"0.0019",779,3810,"39.1399¡N 84.5064¡W",391399,-845064
"66","SaintPaul","Minnesota",294873,285068,"0.0344",520,5484,"44.9489¡N 93.1039¡W",449489,-931039
"67","Toledo","Ohio",282313,287208,"-0.017",807,3559,"41.6641¡N 83.5819¡W",416641,-835819
"68","Greensboro","North Carolina",279639,269666,"0.037",1265,2131,"36.0965¡N 79.8271¡W",360965,-798271
"69","Newark","New Jersey",278427,277140,"0.0046",242,11458,"40.7242¡N 74.1726¡W",407242,-741726
"70","Plano","Texas",274409,259841,"0.0561",716,3630,"33.0508¡N 96.7479¡W",330508,-967479
"71","Henderson","Nevada",270811,257729,"0.0508",1077,2392,"36.0122¡N 115.0375¡W",360122,-1150375
"72","Lincoln","Nebraska",268738,258379,"0.0401",891,2899,"40.8090¡N 96.6804¡W",408090,-966804
"73","Buffalo","New York",258959,261310,"-0.009",404,6471,"42.8925¡N 78.8597¡W",428925,-788597
"74","JerseyCity","New Jersey",257342,247597,"0.0394",148,16737,"40.7114¡N 74.0648¡W",407114,-740648
"75","ChulaVista","California",256780,243916,"0.0527",496,4915,"32.6277¡N 117.0152¡W",326277,-1170152
"76","FortWayne","Indiana",256496,253691,"0.0111",1106,2293,"41.0882¡N 85.1439¡W",410882,-851439
"77","Orlando","Florida",255483,238300,"0.0721",1024,2327,"28.4159¡N 81.2988¡W",284159,-812988
"78","StPetersburg","Florida",249688,244769,"0.0201",617,3964,"27.7620¡N 82.6441¡W",277620,-826441
"79","Chandler","Arizona",249146,236123,"0.0552",644,3666,"33.2829¡N 111.8549¡W",332829,-1118549
"80","Laredo","Texas",248142,236091,"0.051",889,2655,"27.5477¡N 99.4869¡W",275477,-994869
"81","Norfolk","Virginia",246139,242803,"0.0137",541,4486,"36.9230¡N 76.2446¡W",369230,-762446
"82","Durham","North Carolina",245475,228330,"0.0751",1074,2127,"35.9810¡N 78.9056¡W",359810,-789056
"83","Madison","Wisconsin",243344,233209,"0.0435",768,3037,"43.0878¡N 89.4301¡W",430878,-894301
"84","Lubbock","Texas",239538,229573,"0.0434",1224,1875,"33.5665¡N 101.8867¡W",335665,-1018867
"85","Irvine","California",236716,212375,"0.1146",661,3213,"33.6784¡N 117.7713¡W",336784,-1177713
"86","WinstonÐSalem","North Carolina",236441,229617,"0.0297",1324,1734,"36.1033¡N 80.2606¡W",361033,-802606
"87","Glendale","Arizona",234632,226721,"0.0349",600,3780,"33.5331¡N 112.1899¡W",335331,-1121899
"88","Garland","Texas",234566,226876,"0.0339",571,3974,"32.9098¡N 96.6304¡W",329098,-966304
"89","Hialeah","Florida",233394,224669,"0.0388",215,10474,"25.8699¡N 80.3029¡W",258699,-803029
"90","Reno","Nevada",233294,225221,"0.0358",1030,2186,"39.4745¡N 119.7765¡W",394745,-1197765
"91","Chesapeake","Virginia",230571,222209,"0.0376",3408,652,"36.6794¡N 76.3018¡W",366794,-763018
"92","Gilbert","Arizona",229972,208453,"0.1032",680,3067,"33.3102¡N 111.7422¡W",333102,-1117422
"93","BatonRouge","Louisiana",229426,229493,"-0.0003",769,2982,"30.4485¡N 91.1259¡W",304485,-911259
"94","Irving","Texas",228653,216290,"0.0572",670,3227,"32.8577¡N 96.9700¡W",328577,-969700
"95","Scottsdale","Arizona",226918,217385,"0.0439",1839,1182,"33.6687¡N 111.8237¡W",336687,-1118237
"96","NorthLasVegas","Nevada",226877,216961,"0.0457",1013,2141,"36.2830¡N 115.0893¡W",362830,-1150893
"97","Fremont","California",224922,214089,"0.0506",775,2764,"37.4944¡N 121.9411¡W",374944,-1219411
"98","Boise","Idaho",214237,205671,"0.0416",794,2592,"43.5985¡N 116.2311¡W",435985,-1162311
"99","Richmond","Virginia",214114,204214,"0.0485",598,3415,"37.5314¡N 77.4760¡W",375314,-774760
"100","SanBernardino","California",213708,209924,"0.018",592,3546,"34.1393¡N 117.2953¡W",341393,-1172953
"101","Birmingham","Alabama",212113,212237,"_0.06%",1461,1453,"33.5274¡N 86.7990¡W",335274,-867990
"102","Spokane","Washington",210721,208916,"0.0086",592,3526,"47.6736¡N 117.4166¡W",476736,-1174166
"103","Rochester","New York",210358,210565,"-0.001",358,5885,"43.1699¡N 77.6169¡W",431699,-776169
"104","DesMoines","Iowa",207510,203433,"0.02",809,2516,"41.5739¡N 93.6167¡W",415739,-936167
"105","Modesto","California",204933,201165,"0.0187",369,5456,"37.6609¡N 120.9891¡W",376609,-1209891
"106","Fayetteville","North Carolina",204408,200564,"0.0192",1458,1375,"35.0851¡N 78.9803¡W",350851,-789803
"107","Tacoma","Washington",203446,198397,"0.0254",497,3990,"47.2522¡N 122.4598¡W",472522,-1224598
"108","Oxnard","California",203007,197899,"0.0258",269,7358,"34.2023¡N 119.2046¡W",342023,-1192046
"109","Fontana","California",203003,196069,"0.0354",424,4621,"34.1088¡N 117.4627¡W",341088,-1174627
"110","Columbus","Georgia",202824,189885,"0.0681",2164,878,"32.5102¡N 84.8749¡W",325102,-848749
"111","Montgomery","Alabama",201332,205764,"-0.0215",1596,1290,"32.3463¡N 86.2686¡W",323463,-862686
"112","MorenoValley","California",201175,193365,"0.0404",513,3771,"33.9233¡N 117.2057¡W",339233,-1172057
"113","Shreveport","Louisiana",200327,199311,"0.0051",1054,1891,"32.4670¡N 93.7927¡W",324670,-937927
"114","Aurora","Illinois",199963,197899,"0.0104",449,4404,"41.7635¡N 88.2901¡W",417635,-882901
"115","Yonkers","New York",199766,195976,"0.0193",180,10880,"40.9459¡N 73.8674¡W",409459,-738674
"116","Akron","Ohio",198100,199110,"_0.51%",620,3210,"41.0805¡N 81.5214¡W",410805,-815214
"117","HuntingtonBeach","California",197575,189992,"0.0399",267,7103,"33.6906¡N 118.0093¡W",336906,-1180093
"118","LittleRock","Arkansas",197357,193524,"0.0198",1192,1624,"34.7254¡N 92.3586¡W",347254,-923586
"119","Augusta","Georgia",197350,195844,"0.0077",3025,647,"33.3655¡N 82.0734¡W",333655,-820734
"120","Amarillo","Texas",196429,190695,"0.0301",995,1917,"35.1978¡N 101.8287¡W",351978,-1018287
"121","Glendale","California",196021,191719,"0.0224",305,6295,"34.1814¡N 118.2458¡W",341814,-1182458
"122","Mobile","Alabama",194899,195111,"_0.11%",1391,1403,"30.6684¡N 88.1002¡W",306684,-881002
"123","GrandRapids","Michigan",192294,188040,"0.0226",444,4236,"42.9612¡N 85.6556¡W",429612,-856556
"124","SaltLakeCity","Utah",191180,186440,"0.0254",1111,1678,"40.7785¡N 111.9314¡W",407785,-1119314
"125","Tallahassee","Florida",186411,181376,"0.0278",1002,1809,"30.4551¡N 84.2534¡W",304551,-842534
"126","Huntsville","Alabama",186254,180105,"0.0341",2091,862,"34.7843¡N 86.5390¡W",347843,-865390
"127","GrandPrairie","Texas",183372,175396,"0.0455",721,2433,"32.6842¡N 97.0210¡W",326842,-970210
"128","Knoxville","Tennessee",183270,178874,"0.0246",985,1816,"35.9709¡N 83.9465¡W",359709,-839465
"129","Worcester","Massachusetts",182544,181045,"0.0083",374,4845,"42.2695¡N 71.8078¡W",422695,-718078
"130","NewportNews","Virginia",182020,180719,"0.0072",687,2630,"37.0760¡N 76.5217¡W",370760,-765217
"131","Brownsville","Texas",181860,175023,"0.0391",1323,1323,"26.0183¡N 97.4538¡W",260183,-974538
"132","OverlandPark","Kansas",181260,173372,"0.0455",748,2317,"38.8890¡N 94.6906¡W",388890,-946906
"133","SantaClarita","California",179590,176320,"0.0185",527,3345,"34.4049¡N 118.5047¡W",344049,-1185047
"134","Providence","Rhode Island",177994,178042,"0.0003",184,9676,"41.8231¡N 71.4188¡W",418231,-714188
"135","GardenGrove","California",175140,170883,"0.0249",179,9525,"33.7788¡N 117.9605¡W",337788,-1179605
"136","Chattanooga","Tennessee",173366,167674,"0.0339",1372,1223,"35.0665¡N 85.2471¡W",350665,-852471
"137","Oceanside","California",172794,167086,"0.0342",412,4052,"33.2246¡N 117.3062¡W",332246,-1173062
"138","Jackson","Mississippi",172638,173514,"-0.005",1110,1563,"32.3158¡N 90.2128¡W",323158,-902128
"139","FortLauderdale","Florida",172389,165521,"0.0415",348,4761,"26.1413¡N 80.1439¡W",261413,-801439
"140","SantaRosa","California",171990,167815,"0.0249",413,4064,"38.4468¡N 122.7061¡W",384468,-1227061
"141","RanchoCucamonga","California",171386,165269,"0.037",399,4147,"34.1233¡N 117.5642¡W",341233,-1175642
"142","PortStLucie","Florida",171016,164603,"0.039",1140,1444,"27.2810¡N 80.3838¡W",272810,-803838
"143","Tempe","Arizona",168228,161719,"0.0402",399,4050,"33.3884¡N 111.9318¡W",333884,-1119318
"144","Ontario","California",167500,163924,"0.0218",499,3282,"34.0395¡N 117.6088¡W",340395,-1176088
"145","Vancouver","Washington",167405,161791,"0.0347",465,3483,"45.6372¡N 122.5965¡W",456372,-1225965
"146","CapeCoral","Florida",165831,154305,"0.0747",1057,1460,"26.6431¡N 81.9973¡W",266431,-819973
"147","SiouxFalls","South Dakota",164676,153888,"0.0701",730,2109,"43.5383¡N 96.7320¡W",435383,-967320
