"City","State","X2013.estimate","lat","lon"
"New York","New York",8405837,40.6643,-73.9385
"Los Angeles","California",3884307,34.0194,-118.4108
"Chicago","Illinois",2718782,41.8376,-87.6818
"Houston","Texas",2195914,29.7805,-95.3863
"Philadelphia","Pennsylvania",1553165,40.0094,-75.1333
"Phoenix","Arizona",1513367,33.5722,-112.088
"San Antonio","Texas",1409019,29.4724,-98.5251
"San Diego","California",1355896,32.8153,-117.135
"Dallas","Texas",1257676,32.7757,-96.7967
"San Jose","California",998537,37.2969,-121.8193
"Austin","Texas",885400,30.3072,-97.756
"Indianapolis","Indiana",843393,39.7767,-86.1459
"Jacksonville","Florida",842583,30.337,-81.6613
"San Francisco","California",837442,37.7751,-122.4193
"Columbus","Ohio",822553,39.9848,-82.985
"Charlotte","North Carolina",792862,35.2087,-80.8307
"Fort Worth","Texas",792727,32.7795,-97.3463
"Detroit","Michigan",688701,42.383,-83.1022
"El Paso","Texas",674433,31.8484,-106.427
"Memphis","Tennessee",653450,35.1035,-89.9785
"Seattle","Washington",652405,47.6205,-122.3509
"Denver","Colorado",649495,39.7618,-104.8806
"Washington","District of Columbia",646449,38.9041,-77.0171
"Boston","Massachusetts",645966,42.332,-71.0202
"Nashville","Tennessee",634464,36.1718,-86.785
"Baltimore","Maryland",622104,39.3002,-76.6105
"Oklahoma City","Oklahoma",610613,35.4671,-97.5137
"Louisville","Kentucky",609893,38.1781,-85.6667
"Portland","Oregon",609456,45.537,-122.65
"Las Vegas","Nevada",603488,36.2277,-115.264
"Milwaukee","Wisconsin",599164,43.0633,-87.9667
"Albuquerque","New Mexico",556495,35.1056,-106.6474
"Tucson","Arizona",526116,32.1543,-110.8711
"Fresno","California",509924,36.7827,-119.7945
"Sacramento","California",479686,38.5666,-121.4686
"Long Beach","California",469428,33.8091,-118.1553
"Kansas City","Missouri",467007,39.1252,-94.5511
"Mesa","Arizona",457587,33.4019,-111.7174
"Virginia Beach","Virginia",448479,36.7793,-76.024
"Atlanta","Georgia",447841,33.7629,-84.4227
"Colorado Springs","Colorado",439886,38.8673,-104.7607
"Omaha","Nebraska",434353,41.2647,-96.0419
"Raleigh","North Carolina",431746,35.8302,-78.6414
"Miami","Florida",417650,25.7752,-80.2086
"Oakland","California",406253,37.7699,-122.2256
"Minneapolis","Minnesota",400070,44.9633,-93.2683
"Tulsa","Oklahoma",398121,36.1279,-95.9023
"Cleveland","Ohio",390113,41.4781,-81.6795
"Wichita","Kansas",386552,37.6907,-97.3427
"Arlington","Texas",379577,32.7007,-97.1247
"New Orleans","Louisiana",378715,30.0686,-89.939
"Bakersfield","California",363630,35.3212,-119.0183
"Tampa","Florida",352957,27.9701,-82.4797
"Honolulu","Hawai'i",347884,21.3259,-157.8453
"Aurora","Colorado",345803,39.7082,-104.8235
"Anaheim","California",345012,33.8555,-117.7601
"Santa Ana","California",334227,33.7365,-117.8826
"St Louis","Missouri",318416,38.6357,-90.2446
"Riverside","California",316619,33.9381,-117.3932
"Corpus Christi","Texas",316381,27.7543,-97.1734
"Lexington","Kentucky",308428,38.0402,-84.4584
"Pittsburgh","Pennsylvania",305841,40.4398,-79.9766
"Anchorage","Alaska",300950,61.2176,-149.8953
"Stockton","California",298118,37.9763,-121.3133
"Cincinnati","Ohio",297517,39.1399,-84.5064
"Saint Paul","Minnesota",294873,44.9489,-93.1039
"Toledo","Ohio",282313,41.6641,-83.5819
"Greensboro","North Carolina",279639,36.0965,-79.8271
"Newark","New Jersey",278427,40.7242,-74.1726
"Plano","Texas",274409,33.0508,-96.7479
"Henderson","Nevada",270811,36.0122,-115.0375
"Lincoln","Nebraska",268738,40.809,-96.6804
"Buffalo","New York",258959,42.8925,-78.8597
"Jersey City","New Jersey",257342,40.7114,-74.0648
"Chula Vista","California",256780,32.6277,-117.0152
"Fort Wayne","Indiana",256496,41.0882,-85.1439
"Orlando","Florida",255483,28.4159,-81.2988
"St Petersburg","Florida",249688,27.762,-82.6441
"Chandler","Arizona",249146,33.2829,-111.8549
"Laredo","Texas",248142,27.5477,-99.4869
"Norfolk","Virginia",246139,36.923,-76.2446
"Durham","North Carolina",245475,35.981,-78.9056
"Madison","Wisconsin",243344,43.0878,-89.4301
"Lubbock","Texas",239538,33.5665,-101.8867
"Irvine","California",236716,33.6784,-117.7713
"WinstonSalem","North Carolina",236441,36.1033,-80.2606
"Glendale","Arizona",234632,33.5331,-112.1899
"Garland","Texas",234566,32.9098,-96.6304
"Hialeah","Florida",233394,25.8699,-80.3029
"Reno","Nevada",233294,39.4745,-119.7765
"Chesapeake","Virginia",230571,36.6794,-76.3018
"Gilbert","Arizona",229972,33.3102,-111.7422
"Baton Rouge","Louisiana",229426,30.4485,-91.1259
"Irving","Texas",228653,32.8577,-96.97
"Scottsdale","Arizona",226918,33.6687,-111.8237
"North Las Vegas","Nevada",226877,36.283,-115.0893
"Fremont","California",224922,37.4944,-121.9411
"Boise","Idaho",214237,43.5985,-116.2311
"Richmond","Virginia",214114,37.5314,-77.476
"San Bernardino","California",213708,34.1393,-117.2953
"Birmingham","Alabama",212113,33.5274,-86.799
"Spokane","Washington",210721,47.6736,-117.4166
"Rochester","New York",210358,43.1699,-77.6169
"Des Moines","Iowa",207510,41.5739,-93.6167
"Modesto","California",204933,37.6609,-120.9891
"Fayetteville","North Carolina",204408,35.0851,-78.9803
"Tacoma","Washington",203446,47.2522,-122.4598
"Oxnard","California",203007,34.2023,-119.2046
"Fontana","California",203003,34.1088,-117.4627
"Columbus","Georgia",202824,32.5102,-84.8749
"Montgomery","Alabama",201332,32.3463,-86.2686
"Moreno Valley","California",201175,33.9233,-117.2057
"Shreveport","Louisiana",200327,32.467,-93.7927
"Aurora","Illinois",199963,41.7635,-88.2901
"Yonkers","New York",199766,40.9459,-73.8674
"Akron","Ohio",198100,41.0805,-81.5214
"Huntington Beach","California",197575,33.6906,-118.0093
"Little Rock","Arkansas",197357,34.7254,-92.3586
"Augusta","Georgia",197350,33.3655,-82.0734
"Amarillo","Texas",196429,35.1978,-101.8287
"Glendale","California",196021,34.1814,-118.2458
"Mobile","Alabama",194899,30.6684,-88.1002
"Grand Rapids","Michigan",192294,42.9612,-85.6556
"Salt Lake City","Utah",191180,40.7785,-111.9314
"Tallahassee","Florida",186411,30.4551,-84.2534
"Huntsville","Alabama",186254,34.7843,-86.539
"Grand Prairie","Texas",183372,32.6842,-97.021
"Knoxville","Tennessee",183270,35.9709,-83.9465
"Worcester","Massachusetts",182544,42.2695,-71.8078
"Newport News","Virginia",182020,37.076,-76.5217
"Brownsville","Texas",181860,26.0183,-97.4538
"Overland Park","Kansas",181260,38.889,-94.6906
"Santa Clarita","California",179590,34.4049,-118.5047
"Providence","Rhode Island",177994,41.8231,-71.4188
"Garden Grove","California",175140,33.7788,-117.9605
"Chattanooga","Tennessee",173366,35.0665,-85.2471
"Oceanside","California",172794,33.2246,-117.3062
"Jackson","Mississippi",172638,32.3158,-90.2128
"Fort Lauderdale","Florida",172389,26.1413,-80.1439
"Santa Rosa","California",171990,38.4468,-122.7061
"Rancho Cucamonga","California",171386,34.1233,-117.5642
"Port St Lucie","Florida",171016,27.281,-80.3838
"Tempe","Arizona",168228,33.3884,-111.9318
"Ontario","California",167500,34.0395,-117.6088
"Vancouver","Washington",167405,45.6372,-122.5965
"Cape Coral","Florida",165831,26.6431,-81.9973
"Sioux Falls","South Dakota",164676,43.5383,-96.732
"Springfield","Missouri",164122,37.1942,-93.2913
"Peoria","Arizona",162592,33.7877,-112.3111
"Pembroke Pines","Florida",162329,26.0212,-80.3404
"Elk Grove","California",161007,38.4144,-121.3849
"Salem","Oregon",160614,44.9237,-123.0231
"Lancaster","California",159523,34.6936,-118.1753
"Corona","California",159503,33.8624,-117.5639
"Eugene","Oregon",159190,44.0567,-123.1162
"Palmdale","California",157161,34.5913,-118.109
"Salinas","California",155662,36.6902,-121.6337
"Springfield","Massachusetts",153703,42.1155,-72.54
"Pasadena","Texas",152735,29.6583,-95.1505
"Fort Collins","Colorado",152061,40.5482,-105.0648
"Hayward","California",151574,37.6281,-122.1063
"Pomona","California",151348,34.0586,-117.7613
"Cary","North Carolina",151088,35.7821,-78.8141
"Rockford","Illinois",150251,42.2634,-89.0628
"Alexandria","Virginia",148892,38.8183,-77.082
"Escondido","California",148738,33.1336,-117.0732
"McKinney","Texas",148559,33.2012,-96.668
"Kansas City","Kansas",148483,39.1225,-94.7418
"Joliet","Illinois",147806,41.5181,-88.1584
"Sunnyvale","California",147559,37.3858,-122.0263
"Torrance","California",147478,33.835,-118.3414
"Bridgeport","Connecticut",147216,41.1874,-73.1957
"Lakewood","Colorado",147214,39.6989,-105.1176
"Hollywood","Florida",146526,26.0311,-80.1646
"Paterson","New Jersey",145948,40.9147,-74.1628
"Naperville","Illinois",144864,41.7492,-88.162
"Syracuse","New York",144669,43.041,-76.1436
"Mesquite","Texas",143484,32.7639,-96.5924
"Dayton","Ohio",143355,39.7774,-84.1996
"Savannah","Georgia",142772,32.0025,-81.1536
"Clarksville","Tennessee",142357,36.5664,-87.3452
"Orange","California",139969,33.8048,-117.8249
"Pasadena","California",139731,34.1606,-118.1396
"Fullerton","California",138981,33.8857,-117.928
"Killeen","Texas",137147,31.0777,-97.732
"Frisco","Texas",136791,33.151,-96.8193
"Hampton","Virginia",136699,37.048,-76.2971
"McAllen","Texas",136639,26.2185,-98.2461
"Warren","Michigan",134873,42.4929,-83.025
"Bellevue","Washington",133992,47.5978,-122.1565
"West Valley City","Utah",133579,40.6885,-112.0118
"Columbia","South Carolina",133358,34.0298,-80.8966
"Olathe","Kansas",131885,38.8843,-94.8188
"Sterling Heights","Michigan",131224,42.5812,-83.0303
"New Haven","Connecticut",130660,41.3108,-72.925
"Miramar","Florida",130288,25.977,-80.3358
"Waco","Texas",129030,31.5601,-97.186
"Thousand Oaks","California",128731,34.1933,-118.8742
"Cedar Rapids","Iowa",128429,41.967,-91.6778
"Charleston","South Carolina",127999,32.8179,-79.9589
"Visalia","California",127763,36.3272,-119.3234
"Topeka","Kansas",127679,39.0362,-95.6948
"Elizabeth","New Jersey",127558,40.6663,-74.1935
"Gainesville","Florida",127488,29.6788,-82.3459
"Thornton","Colorado",127359,39.918,-104.9454
"Roseville","California",127035,38.7657,-121.3032
"Carrollton","Texas",126700,32.9884,-96.8998
"Coral Springs","Florida",126604,26.2708,-80.2593
"Stamford","Connecticut",126456,41.0799,-73.546
"Simi Valley","California",126181,34.2669,-118.7485
"Concord","California",125880,37.9722,-122.0016
"Hartford","Connecticut",125017,41.766,-72.6833
"Kent","Washington",124435,47.3853,-122.2169
"Lafayette","Louisiana",124276,30.2116,-92.0314
"Midland","Texas",123933,32.0299,-102.1097
"Surprise","Arizona",123546,33.6706,-112.4527
"Denton","Texas",123099,33.2151,-97.1417
"Victorville","California",121096,34.5277,-117.3536
"Evansville","Indiana",120310,37.9877,-87.5347
"Santa Clara","California",120245,37.3646,-121.9679
"Abilene","Texas",120099,32.4545,-99.7381
"Athens","Georgia",119980,33.9496,-83.3701
"Vallejo","California",118837,38.1079,-122.2639
"Allentown","Pennsylvania",118577,40.594,-75.4782
"Norman","Oklahoma",118197,35.2406,-97.3453
"Beaumont","Texas",117796,30.0843,-94.1458
"Independence","Missouri",117240,39.0853,-94.3513
"Murfreesboro","Tennessee",117044,35.8522,-86.4161
"Ann Arbor","Michigan",117025,42.2756,-83.7313
"Springfield","Illinois",117006,39.7639,-89.6708
"Berkeley","California",116768,37.8667,-122.2991
"Peoria","Illinois",116513,40.7523,-89.6171
"Provo","Utah",116288,40.2453,-111.6448
"El Monte","California",115708,34.0746,-118.0291
"Columbia","Missouri",115276,38.9479,-92.3261
"Lansing","Michigan",113972,42.7098,-84.5562
"Fargo","North Dakota",113658,46.8652,-96.829
"Downey","California",113242,33.9382,-118.1309
"Costa Mesa","California",112174,33.6659,-117.9123
"Wilmington","North Carolina",112067,34.2092,-77.8858
"Arvada","Colorado",111707,39.8097,-105.1066
"Inglewood","California",111542,33.9561,-118.3443
"Miami Gardens","Florida",111378,25.9489,-80.2436
"Carlsbad","California",110972,33.1239,-117.2828
"Westminster","Colorado",110945,39.8822,-105.0644
"Rochester","Minnesota",110742,44.0154,-92.4772
"Odessa","Texas",110720,31.8804,-102.3434
"Manchester","New Hampshire",110378,42.9847,-71.4439
"Elgin","Illinois",110145,42.0396,-88.3217
"West Jordan","Utah",110077,40.6023,-112.001
"Round Rock","Texas",109821,30.5237,-97.6674
"Clearwater","Florida",109703,27.9795,-82.7663
"Waterbury","Connecticut",109676,41.5585,-73.0367
"Gresham","Oregon",109397,45.5023,-122.4416
"Fairfield","California",109320,38.2568,-122.0397
"Billings","Montana",109059,45.7895,-108.5499
"Lowell","Massachusetts",108861,42.6389,-71.3221
"Ventura","California",108817,34.2681,-119.255
"Pueblo","Colorado",108249,38.2731,-104.6124
"High Point","North Carolina",107741,35.9855,-79.9902
"West Covina","California",107740,34.0559,-117.9099
"Richmond","California",107571,37.953,-122.3594
"Murrieta","California",107479,33.5719,-117.1907
"Cambridge","Massachusetts",107289,42.376,-71.1183
"Antioch","California",107100,37.9775,-121.7976
"Temecula","California",106780,33.5019,-117.1246
"Norwalk","California",106589,33.9069,-118.0834
"Centennial","Colorado",106114,39.5906,-104.8691
"Everett","Washington",105370,48.0033,-122.1742
"Palm Bay","Florida",104898,27.9856,-80.6626
"Wichita Falls","Texas",104898,33.9067,-98.5259
"Green Bay","Wisconsin",104779,44.5207,-87.9842
"Daly City","California",104739,37.7009,-122.465
"Burbank","California",104709,34.189,-118.3249
"Richardson","Texas",104475,32.9723,-96.7081
"Pompano Beach","Florida",104410,26.2426,-80.129
"North Charleston","South Carolina",104054,32.8853,-80.0169
"Broken Arrow","Oklahoma",103500,36.0365,-95.781
"Boulder","Colorado",103166,40.0175,-105.2797
"West Palm Beach","Florida",102436,26.7483,-80.1266
"Santa Maria","California",102216,34.9332,-120.4438
"El Cajon","California",102211,32.8017,-116.9605
"Davenport","Iowa",102157,41.5541,-90.604
"Rialto","California",101910,34.1118,-117.3883
"Edison","New Jersey",101450,40.5039917,-74.3494111
"Las Cruces","New Mexico",101324,32.3197,-106.7653
"San Mateo","California",101128,37.5542,-122.3131
"Lewisville","Texas",101074,33.0383,-97.0061
"South Bend","Indiana",100886,41.6769,-86.269
"Lakeland","Florida",100710,28.0411,-81.9589
"Erie","Pennsylvania",100671,42.1166,-80.0735
"Woodbridge","New Jersey",100574,40.56075,-74.29262
"Tyler","Texas",100223,32.35,-95.3
"Pearland","Texas",100065,29.5544,-95.2958
"College Station","Texas",100050,30.6013,-96.3144
